sku;category;product_name;brand;description;avg_price_rub;unit
DAI016;Молочные продукты и яйца;Сыр Natura Сливочный легкий 16% 200 г;Natura;Легкий сливочный сыр для сэндвичей и салатов;199.99;г
DAI017;Молочные продукты и яйца;Сыр Брест-Литовск Сливочный 50% 200 г;Брест-Литовск;Полутвердый сливочный сыр с выраженным молочным вкусом;238.99;г
DAI018;Молочные продукты и яйца;Сыр Умалат Сулугуни 45% 280 г;Умалат;Рассольный сыр для салатов, выпечки и горячих закусок;289.99;г
DAI019;Молочные продукты и яйца;Яйца Волжанин куриные С1 10 шт;Волжанин;Столовые куриные яйца первой категории в упаковке;134.00;уп
DAI020;Молочные продукты и яйца;Яйцо Село Зелёное Деревенское С0 10 шт;Село Зелёное;Отборные куриные яйца в картонной упаковке;123.99;уп
FVG001;Овощи, фрукты, зелень;Картофель мытый;Без бренда;Свежий мытый картофель для варки, жарки и запекания;49.99;кг
FVG002;Овощи, фрукты, зелень;Морковь мытая;Без бренда;Свежая морковь для супов, салатов и гарниров;49.99;кг
FVG003;Овощи, фрукты, зелень;Лук репчатый;Без бренда;Базовый овощ для первых блюд, соусов и жарки;39.99;кг
FVG004;Овощи, фрукты, зелень;Огурцы гладкие среднеплодные;Без бренда;Свежие огурцы для салатов и нарезок;151.99;кг
FVG005;Овощи, фрукты, зелень;Огурцы корнишоны 300 г;Без бренда;Фасованные небольшие огурцы для салатов и закусок;179.99;г
FVG006;Овощи, фрукты, зелень;Томаты черри на ветке 250 г;Market Collection;Сладкие томаты черри на ветке для салатов и сервировки;288.99;г
FVG007;Овощи, фрукты, зелень;Томаты сливовидные;Без бренда;Плотные томаты для салатов, соусов и запекания;219.99;кг
FVG008;Овощи, фрукты, зелень;Салат Айсберг 1 шт;Маркет Fresh;Кочанный салат с хрустящими листьями для бургеров и салатов;149.99;шт
FVG009;Овощи, фрукты, зелень;Смесь салатная айсберг-радичио-фриссе 140 г;Маркет Fresh;Мытая салатная смесь для быстрого приготовления свежих салатов;109.99;г
FVG010;Овощи, фрукты, зелень;Шампиньоны Маркет Fresh 400 г;Маркет Fresh;Свежие шампиньоны для жарки, супов и запекания;159.99;г
FVG011;Овощи, фрукты, зелень;Шампиньоны Global Village 400 г;Global Village;Фасованные белые шампиньоны с нейтральным вкусом;139.99;г
FVG012;Овощи, фрукты, зелень;Яблоки Ред Чиф;Без бренда;Сладкие красные яблоки для перекуса и десертов;169.99;кг
FVG013;Овощи, фрукты, зелень;Яблоки Богатырь;Без бренда;Плотные кисло-сладкие яблоки для еды и выпечки;159.99;кг
FVG014;Овощи, фрукты, зелень;Бананы;Без бренда;Свежие бананы для перекуса, смузи и десертов;129.99;кг
FVG015;Овощи, фрукты, зелень;Мандарины Абхазия;Без бренда;Сезонные цитрусовые с ярким сладко-кислым вкусом;189.99;кг
FVG016;Овощи, фрукты, зелень;Апельсины Навелин;Без бренда;Сочные апельсины для еды и свежевыжатого сока;119.99;кг
FVG017;Овощи, фрукты, зелень;Киви Голд 300 г;Без бренда;Фасованные желтые киви с мягкой сладостью;199.99;г
FVG018;Овощи, фрукты, зелень;Голубика свежая 250 г;Маркет;Свежая голубика для завтраков, десертов и перекуса;349.99;г
FVG019;Овощи, фрукты, зелень;Клубника свежая 450 г;Без бренда;Фасованная свежая клубника для десертов и употребления без готовки;569.99;г
FVG020;Овощи, фрукты, зелень;Авокадо Хасс спелое 2 шт;Market Collection;Спелое авокадо для тостов, салатов и соусов;229.99;уп
BAK001;Хлеб и выпечка;Хлеб тостовый Harry's American Sandwich пшеничный 470 г;Harry's;Мягкий пшеничный хлеб для тостов, сэндвичей и завтраков;145.99;г
BAK002;Хлеб и выпечка;Хлеб Коломенское тостовый пшеничный 320 г;Коломенское;Нарезанный пшеничный хлеб для тостов и бутербродов;72.99;г
BAK003;Хлеб и выпечка;Хлебец Белый с отрубями нарезанный 300 г;Зелёная Линия;Пшеничный хлебец с отрубями для легких бутербродов;52.99;г
BAK004;Хлеб и выпечка;Хлеб Хлебный Дом Геркулес с кукурузой нарезка 255 г;Хлебный Дом;Нарезанный хлеб с кукурузой и мягким мякишем;89.99;г
BAK005;Хлеб и выпечка;Хлеб Перекрёсток Домашний на кефире 300 г;Пекарня Перекрёсток;Пшеничный хлеб на кефире из собственной пекарни;59.99;г
BAK006;Хлеб и выпечка;Хлеб Перекрёсток Советский 600 г;Пекарня Перекрёсток;Классический хлеб крупной фасовки для семейного стола;79.99;г
BAK007;Хлеб и выпечка;Хлеб Перекрёсток Русский чёрный 260 г;Пекарня Перекрёсток;Ржаной черный хлеб для первых блюд и бутербродов;54.99;г
BAK008;Хлеб и выпечка;Хлеб Коломенское Бородинский нарезка 400 г;Коломенское;Бородинский хлеб с кориандром и ржаным солодом;76.99;г
BAK009;Хлеб и выпечка;Хлеб Коломенское Коломенский Столовый нарезка 375 г;Коломенское;Нарезанный столовый хлеб для ежедневного употребления;41.99;г
BAK010;Хлеб и выпечка;Батон Коломенское с отрубями 300 г;Коломенское;Пшеничный батон с отрубями для завтраков и перекусов;71.99;г
BAK011;Хлеб и выпечка;Лаваш армянский тонкий 250 г;Без бренда;Тонкий лаваш для рулетов, шаурмы и закусок;80.99;г
BAK012;Хлеб и выпечка;Круассан классический 50 г;Пекарня Перекрёсток;Слоеный классический круассан для кофе и завтрака;29.99;г
BAK013;Хлеб и выпечка;Круассан Миндальный 105 г;Пекарня Перекрёсток;Слоеный круассан с миндальной начинкой;129.99;г
BAK014;Хлеб и выпечка;Круассан с фисташковой начинкой 75 г;Пекарня Перекрёсток;Сдобная выпечка с фисташковой начинкой;119.99;г
BAK015;Хлеб и выпечка;Хлебцы Dr.Korner гречневые с витаминами 100 г;Dr.Korner;Хрустящие гречневые хлебцы для легкого перекуса;119.99;г
BAK016;Хлеб и выпечка;Хлебцы Dr.Korner кукурузные с морской солью 100 г;Dr.Korner;Кукурузные хлебцы с морской солью;154.99;г
BAK017;Хлеб и выпечка;Хлебцы Щедрые ржаные 100 г;Щедрые;Ржаные хлебцы для бутербродов и диетического рациона;74.99;г
BAK018;Хлеб и выпечка;Хлебцы Щедрые ржаные тонкие 170 г;Щедрые;Тонкие ржаные хлебцы с хрустящей текстурой;109.99;г
BAK019;Хлеб и выпечка;Хлебцы Хлебцы-Молодцы Лайт ржаные 70 г;Хлебцы-Молодцы;Легкие ржаные вафельные хлебцы без дрожжей;49.99;г
BAK020;Хлеб и выпечка;Хлебцы Круазетт ржаные тонкие 200 г;Круазетт;Тонкие ржаные хлебцы для закусок и завтраков;179.99;г
GRO001;Бакалея;Рис Агро-Альянс Кубанский Экстра шлифованный 900 г;Агро-Альянс;Круглозерный шлифованный рис для гарниров и каш;136.99;г
GRO002;Бакалея;Рис Увелка круглозёрный шлифованный 5х80 г;Увелка;Порционный рис в варочных пакетиках;121.99;уп
GRO003;Бакалея;Рис Националь для плова шлифованный 900 г;Националь;Рис для плова и рассыпчатых гарниров;157.99;г
GRO004;Бакалея;Рис Мистраль Кубань белый круглозёрный 5х80 г;Мистраль;Белый круглозерный рис в пакетиках для варки;109.99;уп
GRO005;Бакалея;Крупа гречневая Увелка ядрица 800 г;Увелка;Гречневая крупа ядрица для каш и гарниров;119.99;г
GRO006;Бакалея;Крупа гречневая Мистраль ядрица 900 г;Мистраль;Отборная гречневая крупа для рассыпчатой каши;139.99;г
GRO007;Бакалея;Хлопья овсяные Геркулес Русский продукт 500 г;Русский продукт;Овсяные хлопья для каши, гранолы и выпечки;64.99;г
GRO008;Бакалея;Фасоль красная Агро-Альянс 450 г;Агро-Альянс;Сухая красная фасоль для супов, салатов и тушения;129.99;г
GRO009;Бакалея;Чечевица Националь красная 450 г;Националь;Красная чечевица быстрого приготовления для супов и пюре;119.99;г
GRO010;Бакалея;Макароны Makfa паутинка 450 г;Makfa;Тонкая вермишель из твердых сортов пшеницы;87.99;г
GRO011;Бакалея;Макароны Makfa спирали 450 г;Makfa;Фигурные макароны из твердой пшеницы;91.99;г
GRO012;Бакалея;Вермишель Шебекинские №111 лёгкая 450 г;Шебекинские;Тонкая вермишель для супов и гарниров;62.99;г
GRO013;Бакалея;Макароны Шебекинские рожок полубублик №202 450 г;Шебекинские;Макароны-рожки для гарниров и запеканок;83.49;г
GRO014;Бакалея;Макароны Barilla Spaghetti n.5 450 г;Barilla;Классические спагетти из твердых сортов пшеницы;94.99;г
GRO015;Бакалея;Макароны Barilla Fusilli 450 г;Barilla;Спиральная паста для густых соусов и салатов;115.99;г
GRO016;Бакалея;Лапша Sen Soy Premium Soba гречневая 300 г;Sen Soy;Гречневая лапша для азиатских блюд и воков;167.99;г
GRO017;Бакалея;Масло подсолнечное Саратовский нерафинированное 900 мл;Саратовский;Ароматное нерафинированное подсолнечное масло для салатов;129.99;мл
GRO018;Бакалея;Масло подсолнечное Я люблю готовить с добавлением оливкового 800 мл;Я люблю готовить;Смесь подсолнечного и оливкового масла для салатов и жарки;149.99;мл
GRO019;Бакалея;Масло оливковое Filippo Berio Extra Virgin 500 мл;Filippo Berio;Оливковое масло первого холодного отжима для салатов;679.99;мл
GRO020;Бакалея;Мука пшеничная Makfa высший сорт 2 кг;Makfa;Пшеничная мука высшего сорта для выпечки и теста;129.99;кг
MTF001;Мясо, птица, рыба и заморозка;Тушка цыплёнка 1 сорт охлаждённая;Без бренда;Охлажденная тушка цыпленка для запекания и бульонов;199.99;кг
MTF002;Мясо, птица, рыба и заморозка;Филе куриное Перекрёсток;Перекрёсток;Охлажденное куриное филе для жарки, салатов и диетических блюд;449.99;кг
MTF003;Мясо, птица, рыба и заморозка;Филе цыплёнка Троекурово охлаждённое;Троекурово;Охлажденное филе цыпленка с высоким содержанием белка;479.99;кг
MTF004;Мясо, птица, рыба и заморозка;Бедро куриное Перекрёсток охлаждённое;Перекрёсток;Охлажденное куриное бедро для жарки и запекания;249.99;кг
MTF005;Мясо, птица, рыба и заморозка;Бедро куриное Первая Свежесть натуральное охлаждённое;Первая свежесть;Натуральное охлажденное куриное бедро для горячих блюд;329.99;кг
MTF006;Мясо, птица, рыба и заморозка;Фарш Перекрёсток куриный;Перекрёсток;Куриный фарш для котлет, тефтелей и начинок;369.99;кг
MTF007;Мясо, птица, рыба и заморозка;Фарш куриный Перекрёсток из филе грудки;Перекрёсток;Фарш из филе грудки цыпленка для диетических блюд;469.99;кг
MTF008;Мясо, птица, рыба и заморозка;Фарш куриный Петелинка Премиум из филе грудки 450 г;Петелинка;Охлажденный фарш из куриной грудки в упаковке;179.99;г
MTF009;Мясо, птица, рыба и заморозка;Фарш из куриной грудки Зелёная Линия 400 г;Зелёная Линия;Охлажденный фарш из филе грудки без лишних добавок;209.99;г
MTF010;Мясо, птица, рыба и заморозка;Фарш из индейки ИндиЛайт Классический 450 г;ИндиЛайт;Охлажденный фарш из индейки для котлет и соусов;188.99;г
MTF011;Мясо, птица, рыба и заморозка;Фарш из курицы и говядины Мираторг 400 г;Мираторг;Смешанный охлажденный фарш для домашних блюд;209.99;г
MTF012;Мясо, птица, рыба и заморозка;Окорок свиной без кости Перекрёсток;Перекрёсток;Свиной окорок без кости для жаркого и запекания;449.99;кг
MTF013;Мясо, птица, рыба и заморозка;Шашлык куриный в маринаде;Без бренда;Куриный шашлык в маринаде для жарки на гриле;351.99;кг
MTF014;Мясо, птица, рыба и заморозка;Пельмени Caesar Standard категория В замороженные 700 г;Цезарь;Замороженные пельмени с мясной начинкой для быстрого ужина;449.99;г
MTF015;Мясо, птица, рыба и заморозка;Пельмени ФаршТесто Классические замороженные 500 г;Фарш Тесто;Классические замороженные пельмени в небольшой фасовке;489.99;г
MTF016;Мясо, птица, рыба и заморозка;Пельмени Отрадные сибирские 900 г;Отрадные;Замороженные сибирские пельмени для семейного ужина;349.99;г
MTF017;Мясо, птица, рыба и заморозка;Вареники Отрадные с картофелем и луком 800 г;Отрадные;Замороженные вареники с картофелем и луком;179.99;г
MTF018;Мясо, птица, рыба и заморозка;Филе минтая Люди Любят без кожи порционное мороженое 400 г;Люди Любят;Порционное замороженное филе минтая без кожи;319.99;г
MTF019;Мясо, птица, рыба и заморозка;Треска Borealis филе без кожи без костей свежезамороженная 400 г;Borealis;Замороженное филе трески без кожи и костей;959.00;г
MTF020;Мясо, птица, рыба и заморозка;Креветки королевские Бухта Изобилия варёно-мороженые очищенные 300 г;Бухта Изобилия;Очищенные варено-мороженые креветки для салатов и пасты;589.99;г
CNS001;Консервы и соусы;Кетчуп Балтимор Томатный 260 г;Балтимор;Томатный кетчуп для гарниров, мяса и бургеров;62.99;г
CNS002;Консервы и соусы;Кетчуп ЕЖК Томатный 350 г;ЕЖК;Классический томатный кетчуп со сбалансированным вкусом;85.99;г
CNS003;Консервы и соусы;Кетчуп Слобода Чесночный 350 г;Слобода;Томатный кетчуп с чесночной нотой для горячих блюд;114.99;г
CNS004;Консервы и соусы;Кетчуп Махеевъ Томатный 300 г;Махеевъ;Кетчуп на основе томатной пасты для повседневных блюд;91.99;г
CNS005;Консервы и соусы;Кетчуп Heinz Pikador томатный 300 г;Heinz;Томатный кетчуп с мягким пряным вкусом;78.99;г
CNS006;Консервы и соусы;Майонез Слобода оливковый 67% 400 мл;Слобода;Густой майонез для салатов, закусок и соусов;109.99;мл
CNS007;Консервы и соусы;Майонез Слобода Провансаль 67% 800 мл;Слобода;Классический майонез крупной фасовки для семьи;169.99;мл
CNS008;Консервы и соусы;Майонез Mr.Ricco на перепелином яйце 67% 375 мл;Mr.Ricco;Майонез на перепелином яйце для салатов и бутербродов;139.99;мл
CNS009;Консервы и соусы;Соус майонезный чесночный Маркет Перекрёсток 300 мл;Маркет;Чесночный майонезный соус для мяса, картофеля и снеков;129.99;мл
CNS010;Консервы и соусы;Горчица Столичная Русская 100 г;Столичная;Острая русская горчица для мясных блюд и маринадов;45.99;г
CNS011;Консервы и соусы;Горчица Махеевъ Русская столовая 140 г;Махеевъ;Столовая горчица в мягкой упаковке;55.99;г
CNS012;Консервы и соусы;Соус Sen Soy Pad Thai Sauce 80 мл;Sen Soy;Азиатский соус для приготовления пад-тая и вок-блюд;114.99;мл
CNS013;Консервы и соусы;Соус Kikkoman Терияки маринад 250 мл;Kikkoman;Соевый маринад терияки для мяса, рыбы и овощей;377.99;мл
CNS014;Консервы и соусы;Тунец Fortuna полосатый рубленый 185 г;Fortuna;Рубленый тунец в собственном соку для салатов;272.49;г
CNS015;Консервы и соусы;Тунец полосатый мелко рубленный Пр!ст 185 г;Пр!ст;Бюджетные рыбные консервы из филе тунца, воды и соли;142.99;г
CNS016;Консервы и соусы;Тунец Магуро филе натуральное 200 г;Магуро;Натуральное филе тунца для салатов и сэндвичей;339.99;г
CNS017;Консервы и соусы;Тунец Fortuna кусочки в масле 185 г;Fortuna;Кусочки тунца в масле для салатов и закусок;265.99;г
CNS018;Консервы и соусы;Горошек зелёный Бондюэль 400 г;Бондюэль;Консервированный зеленый горошек для салатов и гарниров;129.99;г
CNS019;Консервы и соусы;Кукуруза Бондюэль сладкая 340 г;Бондюэль;Консервированная сладкая кукуруза для салатов и закусок;139.99;г
CNS020;Консервы и соусы;Фасоль Heinz в томатном соусе 415 г;Heinz;Консервированная белая фасоль в томатном соусе;209.99;г
DRK001;Напитки, чай и кофе;Вода Святой источник ключевая негазированная 1.5 л;Святой источник;Питьевая негазированная вода для ежедневного употребления;59.99;л
DRK002;Напитки, чай и кофе;Вода Святой источник природная негазированная 5 л;Святой источник;Питьевая вода в большой семейной упаковке;149.99;л
DRK003;Напитки, чай и кофе;Вода Черноголовка артезианская негазированная 1.5 л;Черноголовка;Артезианская негазированная вода в бутылке;48.99;л
DRK004;Напитки, чай и кофе;Вода Архыз Горная природная негазированная 1.5 л;Архыз;Природная питьевая столовая вода из горного источника;56.99;л
DRK005;Напитки, чай и кофе;Вода Псыж минеральная газированная 1 л;Псыж;Лечебно-столовая газированная минеральная вода;67.99;л
DRK006;Напитки, чай и кофе;Лимонад газированный Черноголовка 1 л;Черноголовка;Газированный лимонад с классическим сладким вкусом;139.99;л
DRK007;Напитки, чай и кофе;Сок J7 Яблоко осветленный 300 мл;J7;Осветленный яблочный сок в небольшой упаковке;99.99;мл
DRK008;Напитки, чай и кофе;Сок J7 Яблоко-Персик 970 мл;J7;Фруктовый сок с яблоком и персиковым пюре;190.99;мл
DRK009;Напитки, чай и кофе;Нектар Добрый ананас-яблоко 1 л;Добрый;Фруктовый нектар из ананасового и яблочного сока;114.99;л
DRK010;Напитки, чай и кофе;Сок Santal апельсиновый 1 л;Santal;Восстановленный апельсиновый сок для завтраков;199.99;л
DRK011;Напитки, чай и кофе;Сок апельсиновый Маркет Перекрёсток восстановленный 1 л;Маркет;Апельсиновый восстановленный сок собственной марки;161.99;л
DRK012;Напитки, чай и кофе;Чай Greenfield Золотой Цейлон чёрный 25х2 г;Greenfield;Пакетированный черный цейлонский чай;109.90;уп
DRK013;Напитки, чай и кофе;Чай Greenfield Earl Grey Fantasy чёрный 25х2 г;Greenfield;Черный чай с ароматом бергамота в пакетиках;109.90;уп
DRK014;Напитки, чай и кофе;Чай Tess Pleasure чёрный с шиповником и яблоком 25х1.5 г;Tess;Ароматизированный черный чай в пакетиках;114.99;уп
DRK015;Напитки, чай и кофе;Чай Ahmad Tea Earl Grey чёрный 25х2 г;Ahmad Tea;Черный чай Earl Grey с ароматом бергамота;124.99;уп
DRK016;Напитки, чай и кофе;Кофе Nescafe Classic Crema растворимый 95 г;Nescafe;Растворимый кофе с мягкой кремовой пенкой;349.99;г
DRK017;Напитки, чай и кофе;Кофе Nescafe Gold растворимый 47.5 г;Nescafe;Сублимированный растворимый кофе в небольшой банке;279.99;г
DRK018;Напитки, чай и кофе;Кофе Jacobs Gold растворимый сублимированный 190 г;Jacobs;Растворимый сублимированный кофе с насыщенным ароматом;839.99;г
DRK019;Напитки, чай и кофе;Кофе Poetti Daily Classic Crema в зернах 250 г;Poetti;Жареный зерновой кофе средней обжарки;529.99;г
DRK020;Напитки, чай и кофе;Кофе Jardin Euphoria в зернах 250 г;Jardin;Зерновой кофе для кофемашины и ручного помола;689.99;г
